,R,n_sites,from_sec,to_sec,type,transport_per_sec_per_particle,transport_per_sec_per_particle_sem,total_sim_time_sec
9944,15,0,5e-06,1e-05,inert,73.0578438900979,4.602211577518545,3.4493216139677965
15876,17,0,5e-06,1e-05,inert,37.4162635636978,3.94402047981512,2.4053711254942183
10098,20,0,5e-06,1e-05,inert,7.370180806032599,2.2221931246081152,1.4925006983541491
10312,24,0,5e-06,1e-05,inert,2.327420593239401,1.6457348841527981,0.8593204020835428
13114,17,1,5e-06,1e-05,inert,23.341512419820127,3.091658846288735,2.442001142633724
9878,20,1,5e-06,1e-05,inert,11.3333280303674,2.7487357975869497,1.5000007018634665
3778,24,1,5e-06,1e-05,inert,0.0,0.0,0.8680004061449926
11384,29,1,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
13008,35,1,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
13880,42,1,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
6318,17,2,5e-06,1e-05,inert,25.389013509278037,3.2244079400878625,2.442001142633724
11000,20,2,5e-06,1e-05,inert,5.333330837819954,1.8856172008669099,1.5000007018634665
13888,24,2,5e-06,1e-05,inert,1.1696174554857903,1.1696174554857903,0.8549804000528181
12678,29,2,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
2476,35,2,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
13854,42,2,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
14086,17,4,5e-06,1e-05,inert,26.208013945061197,3.2760017431326496,2.442001142633724
4918,20,4,5e-06,1e-05,inert,6.6666635472749425,2.1081841203406437,1.5000007018634665
6428,24,4,5e-06,1e-05,inert,1.1520731936535038,1.1520731936535038,0.8680004061449926
9414,29,4,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
14478,35,4,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
6918,42,4,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
1374,49,4,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
12076,17,6,5e-06,1e-05,inert,30.303016123977013,3.5226540712282097,2.442001142633724
7712,20,6,5e-06,1e-05,inert,7.333329902002437,2.211082158985074,1.5000007018634665
6512,24,6,5e-06,1e-05,inert,0.0,0.0,0.8680004061449926
2382,29,6,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
618,35,6,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
7626,42,6,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
13736,49,6,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
8448,57,6,5e-06,1e-05,inert,0.0,0.0,0.06467503026201313
4692,66,6,5e-06,1e-05,inert,0.0,0.0,0.04179001955391618
670,75,6,5e-06,1e-05,inert,0.0,0.0,0.02786001303594412
6300,17,8,5e-06,1e-05,inert,29.484015688193846,3.4747245716220703,2.442001142633724
8468,20,8,5e-06,1e-05,inert,5.999997192547449,1.9999990641824827,1.5000007018634665
3680,24,8,5e-06,1e-05,inert,1.1520731936535038,1.1520731936535038,0.8680004061449926
13298,29,8,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
4732,35,8,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
3092,42,8,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
10840,49,8,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
11926,57,8,5e-06,1e-05,inert,0.0,0.0,0.06500003041408355
4114,66,8,5e-06,1e-05,inert,0.0,0.0,0.04116001925913353
4174,75,8,5e-06,1e-05,inert,0.0,0.0,0.02800001310145137
4582,24,12,5e-06,1e-05,inert,0.0,0.0,0.8680004061449926
4000,29,12,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
82,35,12,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
8636,42,12,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
3720,49,12,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
7108,57,12,5e-06,1e-05,inert,0.0,0.0,0.06500003041408355
5858,66,12,5e-06,1e-05,inert,0.0,0.0,0.04200001965217706
10174,75,12,5e-06,1e-05,inert,0.0,0.0,0.02772001297043686
11458,24,16,5e-06,1e-05,inert,2.304146387307008,1.6292775353112705,0.8680004061449926
5800,29,16,5e-06,1e-05,inert,0.0,0.0,0.492000230211217
5176,35,16,5e-06,1e-05,inert,0.0,0.0,0.28000013101451376
11038,42,16,5e-06,1e-05,inert,0.0,0.0,0.1620000758012544
12116,49,16,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
11798,57,16,5e-06,1e-05,inert,0.0,0.0,0.06467503026201313
4424,66,16,5e-06,1e-05,inert,0.0,0.0,0.04200001965217706
11652,75,16,5e-06,1e-05,inert,0.0,0.0,0.02772001297043686
7350,49,24,5e-06,1e-05,inert,0.0,0.0,0.10200004772671573
9945,15,0,5e-06,1e-05,kap,114.5152711769393,5.761888608435616,3.4493216139677965
15877,17,0,5e-06,1e-05,kap,40.74215365824872,4.115579018841708,2.4053711254942183
10099,20,0,5e-06,1e-05,kap,16.750410922801358,3.3500821845602715,1.4925006983541491
10313,24,0,5e-06,1e-05,kap,0.0,0.0,0.8593204020835428
13115,17,1,5e-06,1e-05,kap,117.52656253488414,6.937373636044378,2.442001142633724
9879,20,1,5e-06,1e-05,kap,49.333310249834604,5.734880827959527,1.5000007018634665
3779,24,1,5e-06,1e-05,kap,10.368658742881532,3.456219580960512,0.8680004061449926
11385,29,1,5e-06,1e-05,kap,2.03251937416919,2.0325193741691896,0.492000230211217
13009,35,1,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
13881,42,1,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
6319,17,2,5e-06,1e-05,kap,208.02611068892372,9.229666172416664,2.442001142633724
11001,20,2,5e-06,1e-05,kap,47.99997754037961,5.656851602600732,1.5000007018634665
13889,24,2,5e-06,1e-05,kap,11.696174554857905,3.6986551504256986,0.8549804000528181
12679,29,2,5e-06,1e-05,kap,0.0,0.0,0.492000230211217
2477,35,2,5e-06,1e-05,kap,0.0,0.0,0.28000013101451376
13855,42,2,5e-06,1e-05,kap,0.0,0.0,0.1620000758012544
14087,17,4,5e-06,1e-05,kap,573.3003050482138,15.322095151595736,2.442001142633724
4919,20,4,5e-06,1e-05,kap,261.333211053178,13.199320406068376,1.5000007018634665
6429,24,4,5e-06,1e-05,kap,57.60365968267522,8.146387676556353,0.8680004061449926
9415,29,4,5e-06,1e-05,kap,10.162596870845947,4.544851486227637,0.492000230211217
